op,model,num_experts,config,time_ms,speedup,bandwidth_gbs
softmax,OLMoE,64,baseline,0.0173,1.0,30.34
softmax,OLMoE,64,kernel,0.0086,2.005,60.84
softmax,Mixtral,8,baseline,0.0168,1.0,3.91
softmax,Mixtral,8,kernel,0.0081,2.075,8.12
