op,hidden,config,time_ms,speedup,bandwidth_gbs
rmsnorm,512,baseline,0.0708,1.0,88.9
rmsnorm,512,kernel,0.0117,6.066,539.27
rmsnorm,1024,baseline,0.0849,1.0,148.23
rmsnorm,1024,kernel,0.0138,6.17,914.55
rmsnorm,2048,baseline,0.1414,1.0,177.96
rmsnorm,2048,kernel,0.0197,7.19,1279.48
rmsnorm,4096,baseline,0.3033,1.0,165.95
rmsnorm,4096,kernel,0.0327,9.279,1539.92
