variant,module,routing_similarity_rs,jaccard_drift,overlap_at_k,selection_shift,num_rows
int8,model.layers.0.mlp.gate,0.977602707749751,0.022397292250249,0.9873949579831933,0.012605042016806678,7616.0
int8,model.layers.1.mlp.gate,0.961980625583542,0.038019374416457974,0.9785648634453782,0.021435136554621814,7616.0
int8,model.layers.10.mlp.gate,0.9252610134962704,0.07473898650372957,0.9570969012605042,0.042903098739495826,7616.0
int8,model.layers.11.mlp.gate,0.9332235166793622,0.06677648332063779,0.9616596638655462,0.038340336134453756,7616.0
int8,model.layers.12.mlp.gate,0.9263724429165232,0.07362755708347679,0.9573759191176471,0.04262408088235292,7616.0
int8,model.layers.13.mlp.gate,0.9362867116543195,0.06371328834568046,0.963858981092437,0.03614101890756305,7616.0
int8,model.layers.14.mlp.gate,0.9238440072998514,0.07615599270014861,0.9564403886554622,0.043559611344537785,7616.0
int8,model.layers.15.mlp.gate,0.9282716874628246,0.07172831253717538,0.9591320903361344,0.040867909663865554,7616.0
int8,model.layers.16.mlp.gate,0.9320993548934364,0.06790064510656357,0.9613149947478992,0.038685005252100835,7616.0
int8,model.layers.17.mlp.gate,0.9260577715934477,0.07394222840655229,0.9575728728991597,0.04242712710084029,7616.0
int8,model.layers.18.mlp.gate,0.9179296194001645,0.08207038059983551,0.9526326155462185,0.047367384453781525,7616.0
int8,model.layers.19.mlp.gate,0.9262284692431367,0.07377153075686327,0.9578683035714286,0.0421316964285714,7616.0
int8,model.layers.2.mlp.gate,0.9520578686019608,0.047942131398039156,0.9726234243697479,0.027376575630252087,7616.0
int8,model.layers.20.mlp.gate,0.9233840214407021,0.07661597855929791,0.9561613707983193,0.04383862920168069,7616.0
int8,model.layers.21.mlp.gate,0.9252435531321704,0.07475644686782956,0.9571625525210085,0.04283744747899154,7616.0
int8,model.layers.22.mlp.gate,0.9160741277862696,0.08392587221373038,0.9517955619747899,0.04820443802521013,7616.0
int8,model.layers.23.mlp.gate,0.9144910411716693,0.08550895882833065,0.9500229779411765,0.049977022058823484,7616.0
int8,model.layers.24.mlp.gate,0.917061189277532,0.082938810722468,0.9522551207983193,0.04774487920168069,7616.0
int8,model.layers.25.mlp.gate,0.9247084614731297,0.07529153852687032,0.9567358193277311,0.04326418067226889,7616.0
int8,model.layers.26.mlp.gate,0.9258401787287944,0.07415982127120557,0.9574579831932774,0.04254201680672265,7616.0
int8,model.layers.27.mlp.gate,0.9245985836058965,0.07540141639410347,0.9567522321428571,0.043247767857142905,7616.0
int8,model.layers.28.mlp.gate,0.9236389952250922,0.07636100477490781,0.9555869222689075,0.04441307773109249,7616.0
int8,model.layers.29.mlp.gate,0.9263908069054753,0.07360919309452474,0.9575400472689075,0.04245995273109249,7616.0
int8,model.layers.3.mlp.gate,0.9400310881928198,0.059968911807180225,0.9656643907563025,0.034335609243697496,7616.0
int8,model.layers.30.mlp.gate,0.9168552502585695,0.08314474974143049,0.9512211134453782,0.048778886554621814,7616.0
int8,model.layers.31.mlp.gate,0.9200455648459464,0.07995443515405365,0.9538799894957983,0.04612001050420167,7616.0
int8,model.layers.32.mlp.gate,0.9202879869896281,0.0797120130103719,0.954109768907563,0.04589023109243695,7616.0
int8,model.layers.33.mlp.gate,0.9203372870126657,0.0796627129873343,0.9540277048319328,0.04597229516806722,7616.0
int8,model.layers.34.mlp.gate,0.9157165780064537,0.08428342199354633,0.9503348214285714,0.0496651785714286,7616.0
int8,model.layers.35.mlp.gate,0.9210261260681069,0.07897387393189315,0.9538635766806722,0.04613642331932777,7616.0
int8,model.layers.36.mlp.gate,0.9272561413842533,0.07274385861574673,0.9581144957983193,0.04188550420168069,7616.0
int8,model.layers.37.mlp.gate,0.9405618482824014,0.059438151717598586,0.9659269957983193,0.03407300420168069,7616.0
int8,model.layers.38.mlp.gate,0.9328013956164852,0.06719860438351477,0.9614955357142857,0.0385044642857143,7616.0
int8,model.layers.39.mlp.gate,0.9299844413289451,0.07001555867105491,0.9597393644957983,0.04026063550420167,7616.0
int8,model.layers.4.mlp.gate,0.9394316059756863,0.06056839402431369,0.9657136292016807,0.03428637079831931,7616.0
int8,model.layers.40.mlp.gate,0.9366885623712983,0.06331143762870173,0.963875393907563,0.03612460609243695,7616.0
int8,model.layers.41.mlp.gate,0.9385729524909866,0.0614270475090134,0.9647288602941176,0.03527113970588236,7616.0
