predictor,n_points,pearson,spearman
jaccard_drift,16,0.9070201995498632,0.8910162002945509
gate_kl,16,0.8554066385117086,0.8998527245949927
drift~gate_kl (collinearity),16,0.9776716920413455,0.9941089837997055
