variant,precision,compiler_mode,variant_type,routing_similarity_rs,jaccard_drift,overlap_at_k,selection_shift
fp16,fp16,eager,baseline,1.0,0.0,1.0,0.0
int8,int8,eager,quantization,0.940586,0.059414,0.95544,0.04456
int4,int4,eager,quantization,0.874614,0.125386,0.905671,0.094329
