variant,task,drift,accuracy,baseline_accuracy,accuracy_drop
int8,mmlu,0.04884,0.5419370738519674,0.5430050110901175,0.0010679372381500185
int8,hellaswag,0.04884,0.702,0.706,0.0040000000000000036
int4,mmlu,0.114156,0.5319970426353405,0.5430050110901175,0.011007968454776917
int4,hellaswag,0.114156,0.684,0.706,0.02199999999999991
