variant,n_prompts,n_rows,iterations,routing_similarity_rs,rs_ci_low,rs_ci_high,jaccard_drift,jaccard_ci_low,jaccard_ci_high,jaccard_se,overlap_at_k,selection_shift,selection_shift_ci_low,selection_shift_ci_high
int4,100,119952,2000,0.8858437473492952,0.8837423909878398,0.8877283425129322,0.11415625265070484,0.1122716574870678,0.1162576090121602,0.0010410203386422192,0.9339881786047752,0.06601182139522477,0.06486075292489624,0.06729796451300496
int8,100,119952,2000,0.9511602391359011,0.9498678431348555,0.9523451099479242,0.04883976086409891,0.04765489005207579,0.050132156865144495,0.0006345111481517264,0.9723264305722289,0.027673569427771105,0.02700354144805872,0.028415468770942254
