variant,module,routing_similarity_rs,jaccard_drift,overlap_at_k,selection_shift,num_rows
int8,model.layers.0.mlp.gate,0.9370161532626144,0.06298384673738555,0.9643357342937174,0.03566426570628256,7497.0
int8,model.layers.1.mlp.gate,0.9390420141120063,0.060957985887993726,0.9654361744697879,0.03456382553021209,7497.0
int8,model.layers.10.mlp.gate,0.9600696844394067,0.039930315560593344,0.9774243030545552,0.022575696945444812,7497.0
int8,model.layers.11.mlp.gate,0.955549627258283,0.04445037274171704,0.9749233026543951,0.025076697345604915,7497.0
int8,model.layers.12.mlp.gate,0.9576584842691019,0.04234151573089806,0.9760737628384687,0.023926237161531305,7497.0
int8,model.layers.13.mlp.gate,0.9550247034840594,0.044975296515940566,0.9745564892623716,0.025443510737628405,7497.0
int8,model.layers.14.mlp.gate,0.9572553600564552,0.04274463994354483,0.9758236627984527,0.024176337201547327,7497.0
int8,model.layers.15.mlp.gate,0.9534363758453148,0.04656362415468518,0.9730725623582767,0.02692743764172334,7497.0
int8,model.layers.2.mlp.gate,0.9508301637152873,0.04916983628471272,0.972155528878218,0.02784447112178201,7497.0
int8,model.layers.3.mlp.gate,0.945364066372435,0.054635933627565025,0.9690042683740163,0.03099573162598368,7497.0
int8,model.layers.4.mlp.gate,0.9482248695533692,0.051775130446630846,0.9706716019741229,0.029328398025877056,7497.0
int8,model.layers.5.mlp.gate,0.9502836824965383,0.04971631750346173,0.9718220621581967,0.028177937841803335,7497.0
int8,model.layers.6.mlp.gate,0.9484103405671718,0.05158965943282823,0.9708049886621315,0.029195011337868504,7497.0
int8,model.layers.7.mlp.gate,0.9505563841697973,0.049443615830202736,0.9721221822062158,0.027877817793784176,7497.0
int8,model.layers.8.mlp.gate,0.9506420750117924,0.04935792498820757,0.9720221421902094,0.027977857809790563,7497.0
int8,model.layers.9.mlp.gate,0.959199841552758,0.04080015844724205,0.9769741229825264,0.023025877017473606,7497.0
int4,model.layers.0.mlp.gate,0.8774205978687283,0.12257940213127172,0.9293050553554755,0.07069494464452453,7497.0
int4,model.layers.1.mlp.gate,0.8680021503550439,0.1319978496449561,0.9238695478191277,0.07613045218087233,7497.0
int4,model.layers.10.mlp.gate,0.9048333759817869,0.09516662401821308,0.9454615179405096,0.05453848205949041,7497.0
int4,model.layers.11.mlp.gate,0.8965249295781036,0.10347507042189641,0.940609577164199,0.05939042283580098,7497.0
int4,model.layers.12.mlp.gate,0.8983162288483928,0.1016837711516072,0.9416266506602641,0.058373349339735925,7497.0
int4,model.layers.13.mlp.gate,0.8855062563745608,0.11449374362543918,0.9335901027077498,0.06640989729225022,7497.0
int4,model.layers.14.mlp.gate,0.8944854709560162,0.10551452904398384,0.9390756302521008,0.060924369747899165,7497.0
int4,model.layers.15.mlp.gate,0.887134802861047,0.11286519713895304,0.9332733093237295,0.06672669067627046,7497.0
int4,model.layers.2.mlp.gate,0.8859320159039544,0.11406798409604557,0.9344237695078031,0.06557623049219685,7497.0
int4,model.layers.3.mlp.gate,0.8715682906158614,0.12843170938413861,0.9258203281312525,0.07417967186874752,7497.0
int4,model.layers.4.mlp.gate,0.8733575585115684,0.12664244148843162,0.9269874616513272,0.07301253834867283,7497.0
int4,model.layers.5.mlp.gate,0.8754405465889559,0.12455945341104413,0.9277544351073763,0.07224556489262368,7497.0
int4,model.layers.6.mlp.gate,0.8804936708097457,0.11950632919025428,0.9305722288915567,0.06942777110844334,7497.0
int4,model.layers.7.mlp.gate,0.885136593579925,0.11486340642007498,0.9334733893557423,0.06652661064425769,7497.0
int4,model.layers.8.mlp.gate,0.8855397710939457,0.11446022890605434,0.9332733093237295,0.06672669067627046,7497.0
int4,model.layers.9.mlp.gate,0.9038076976451882,0.0961923023548118,0.9446945444844604,0.05530545551553956,7497.0
